household_key,Recency,Frequency,T,Gross_Sales,Net_Sales,avg_monetary,total_baskets,avg_basket_size,avg_transaction_value,distinct_stores,tenure_weeks,coupon_usage_rate,first_purchase_week,last_purchase_week,Cluster,predicted_purchases_6_months,predicted_clv_6_months
295,11,3,63,123.39,59.3,14.825,4,17.5,14.825,2,52,0.0,12,64,1,1.1808,14.8389
296,20,5,59,72.02,71.96,11.9933,6,5215.3333,11.9933,2,39,0.0,16,55,1,2.2826,31.0289
297,0,68,63,1351.98,1126.97,16.3329,69,9.0725,16.3329,7,63,0.029,12,75,1,29.775,634.8217
298,33,6,66,224.86,172.61,24.6586,7,17.5714,24.6586,1,33,0.0,9,42,2,2.1942,59.5691
299,23,7,59,171.36,166.75,20.8438,8,12.25,20.8438,3,36,0.0,16,52,2,2.1709,46.3304
300,0,80,64,4226.18,3475.4,42.9062,81,21.6296,42.9062,6,64,0.0247,11,75,1,34.7035,1493.0198
301,1,47,71,4768.94,3956.94,82.4362,48,40.2292,82.4362,4,70,0.0833,4,74,1,24.3136,1976.2348
302,0,61,60,1362.96,1188.5599,19.1703,62,176.4516,19.1703,5,60,0.0,15,75,1,19.4501,322.8026
303,0,134,58,2925.34,2118.84,15.6951,135,433.163,15.6951,5,58,0.0519,17,75,1,71.3972,1001.4825
304,0,210,74,6002.68,4727.79,22.4066,211,1931.5972,22.4066,14,74,0.0095,1,75,0,69.0917,2241.0215
305,1,101,70,2872.45,2331.16,22.8545,102,1328.6569,22.8545,4,69,0.0588,5,74,1,37.057,824.2475
306,0,97,60,3163.24,1911.27,19.5028,98,1964.0918,19.5028,3,60,0.2449,15,75,1,34.0518,545.6579
307,0,282,69,1718.85,1341.96,4.7419,283,108.0212,4.7419,17,69,0.0,6,75,0,99.3855,414.2085
308,2,48,72,1266.27,1139.21,23.2492,49,989.0204,23.2492,4,70,0.0,3,73,1,22.4803,688.1479
309,5,16,70,1861.12,1469.58,86.4459,17,48.2353,86.4459,3,65,0.2353,5,70,1,6.6773,683.4418
310,63,2,63,80.86,60.37,20.1233,3,14.3333,20.1233,1,0,0.0,12,12,2,1.1672,27.0188
311,2,32,70,965.13,832.98,25.2418,33,1171.2727,25.2418,1,68,0.0303,5,73,1,15.0416,356.0035
312,0,30,62,2097.97,1700.47,54.8539,31,28.0645,54.8539,2,62,0.4839,13,75,1,13.7354,869.563
313,62,3,67,92.54,75.21,18.8025,4,11.0,18.8025,2,5,0.0,8,13,2,1.65,26.4142
314,1,24,73,1685.48,1435.37,57.4148,25,40.76,57.4148,4,72,0.0,2,74,1,9.3324,502.1446
315,2,9,74,165.23,134.44,13.444,10,7.5,13.444,2,72,0.1,1,73,1,3.7317,63.9331
316,0,20,64,300.98,245.81,11.7052,21,432.8095,11.7052,7,64,0.0,11,75,1,7.6571,111.5234
317,1,45,69,4437.66,3693.79,80.2998,46,40.5652,80.2998,3,68,0.2609,6,74,1,17.1837,1079.498
318,0,78,65,961.98,831.3,10.5228,79,209.6962,10.5228,5,65,0.0,10,75,1,27.138,230.5796
319,0,89,71,3110.25,2389.94,26.5549,90,2289.2667,26.5549,3,71,0.0222,4,75,1,39.7246,1083.942
320,2,12,62,370.68,323.51,24.8854,13,11.0,24.8854,3,60,0.0,13,73,1,3.9757,152.3259
321,0,85,66,4673.67,3618.77,42.0787,86,21.5465,42.0787,8,66,0.2442,9,75,1,39.1564,1020.6689
322,5,51,60,1903.17,1637.49,31.4902,52,245.7692,31.4902,6,55,0.0385,15,70,1,21.2732,718.1705
323,4,7,69,68.22,53.05,6.6312,8,135.5,6.6312,3,65,0.0,6,71,1,3.3339,15.6728
324,0,112,67,6406.0,5750.43,50.8888,113,3981.6991,50.8888,4,67,0.0708,8,75,0,50.5052,2193.2433
325,4,47,64,1735.72,1024.09,21.3352,48,17.5625,21.3352,4,60,0.2708,11,71,1,27.4809,535.254
326,2,15,59,359.47,261.04,16.315,16,5.4375,16.315,1,57,0.0625,16,73,1,7.6504,112.3616
327,15,25,65,207.79,165.46,6.3638,26,4.5769,6.3638,5,50,0.0,10,60,1,7.3022,40.6644
328,0,188,65,12539.92,11090.14,58.678,189,1522.5661,58.678,1,65,0.0265,10,75,0,74.1997,4361.7439
329,0,98,63,1709.08,1563.75,15.7955,99,9.2828,15.7955,4,63,0.0,12,75,1,31.9933,442.0571
330,0,148,62,1363.61,1166.67,7.83,149,446.0403,7.83,6,62,0.0201,13,75,1,55.9534,303.951
331,0,48,58,975.15,851.84,17.3845,49,9.0204,17.3845,5,58,0.0204,17,75,1,29.1105,615.015
332,0,85,73,3301.15,2599.64,30.2284,86,20.4535,30.2284,9,73,0.0233,2,75,1,34.391,1254.8798
333,11,34,67,1126.55,789.91,22.5689,35,19.0286,22.5689,2,56,0.0,8,64,1,11.4728,319.6878
334,0,423,70,3914.97,2740.56,6.4636,424,97.0613,6.4636,4,70,0.0495,5,75,0,128.2819,564.1007
335,1,122,70,2333.77,2127.19,17.2942,123,7.187,17.2942,7,69,0.0,5,74,1,45.6124,850.0367
336,0,86,58,2165.9,1942.88,22.332,87,1059.2874,22.332,5,58,0.0115,17,75,1,30.2256,799.2743
337,0,50,63,797.57,522.06,10.2365,51,610.5294,10.2365,3,63,0.1373,12,75,1,18.043,142.7245
338,0,90,52,1479.28,1136.39,12.4878,91,10.3956,12.4878,7,52,0.0,23,75,1,47.8976,599.5083
339,3,51,61,1403.11,865.83,16.6506,52,19.1346,16.6506,1,58,0.0962,14,72,1,27.3882,442.9648
340,1,20,73,939.27,748.1,35.6238,21,20.381,35.6238,3,72,0.0,2,74,1,8.0456,454.2616
341,4,25,59,374.38,281.88,10.8415,26,11.1538,10.8415,7,55,0.1154,16,71,1,6.9669,122.2029
342,0,25,60,1362.22,1067.44,41.0554,26,24.7692,41.0554,4,60,0.1923,15,75,1,11.5133,311.7914
343,2,49,74,966.38,808.83,16.1766,50,7.88,16.1766,2,72,0.02,1,73,1,17.466,527.0556
